Date,Season,Actual,Predicted,HomeProb,DrawProb,AwayProb,HomeOdds,DrawOdds,AwayOdds,Bet_Outcome,Bet_Odds,Won,PnL
2006-08-19,2006,H,A,0.22535299,0.27953967,0.49510735,2.0,3.2,3.75,A,3.75,False,-100.0
2006-08-19,2006,H,H,0.5970707,0.105350375,0.29757896,2.3,3.1,3.1,H,2.3,True,129.99999999999997
2006-08-19,2006,D,H,0.9402457,0.053629648,0.006124644,1.28,4.5,13.0,H,1.28,False,-100.0
2006-08-19,2006,H,H,0.47076792,0.23386078,0.29537132,2.62,3.2,2.6,H,2.62,True,162.0
2006-08-19,2006,H,H,0.6782865,0.13068122,0.1910323,1.72,3.5,4.75,H,1.72,True,72.0
2006-08-20,2006,H,H,0.9357965,0.007832567,0.056370888,1.22,5.5,13.0,H,1.22,True,21.999999999999996
2006-08-20,2006,H,H,0.9922174,0.0044826865,0.0032999227,1.22,5.5,13.0,H,1.22,True,21.999999999999996
2006-08-22,2006,H,H,0.70219254,0.2743355,0.023471959,1.5,3.75,7.0,H,1.5,True,50.0
2006-08-22,2006,D,A,0.17055263,0.016104195,0.8133432,2.87,3.2,2.4,A,2.4,False,-100.0
2006-08-23,2006,D,A,0.3218247,0.049139343,0.62903595,2.2,3.1,3.1,A,3.1,False,-100.0
2006-08-23,2006,H,A,0.06460381,0.390293,0.5451032,8.5,3.75,1.44,A,1.44,False,-100.0
2006-08-23,2006,D,H,0.66643673,0.17824318,0.15532006,2.4,3.2,2.87,H,2.4,False,-100.0
2006-08-23,2006,D,A,0.16686593,0.37134346,0.4617906,2.3,3.1,3.1,A,3.1,False,-100.0
2006-08-23,2006,H,A,0.19492522,0.053324185,0.75175065,1.9,3.25,4.0,A,4.0,False,-100.0
2006-08-23,2006,A,A,0.08243626,0.056757435,0.8608063,7.5,3.6,1.5,A,1.5,True,50.0
2006-08-26,2006,H,D,0.38550338,0.60559994,0.008896705,1.9,3.25,4.0,D,3.25,False,-100.0
2006-08-26,2006,A,A,0.021924686,0.33728373,0.64079154,7.5,4.33,1.4,A,1.4,True,39.99999999999999
2006-08-26,2006,A,H,0.7299907,0.2525965,0.01741277,1.72,3.4,5.0,H,1.72,False,-100.0
2006-08-26,2006,H,A,0.33018547,0.0072973794,0.66251713,2.5,3.1,2.8,A,2.8,False,-100.0
2006-08-26,2006,H,H,0.8571358,0.12786525,0.014998907,1.44,4.0,7.5,H,1.44,True,43.99999999999999
2006-08-26,2006,H,H,0.4584893,0.2733228,0.26818794,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-08-26,2006,H,A,0.003038293,0.0036528395,0.9933089,5.5,3.6,1.61,A,1.61,False,-100.0
2006-08-27,2006,H,A,0.07565839,0.14661221,0.7777294,2.37,3.1,3.0,A,3.0,False,-100.0
2006-08-27,2006,A,H,0.71195287,0.19020031,0.09784683,6.5,3.6,1.53,H,6.5,False,-100.0
2006-08-28,2006,A,H,0.85085046,0.03328172,0.115867764,2.0,3.2,3.75,H,2.0,False,-100.0
2006-09-09,2006,H,H,0.9626267,0.03241519,0.004958115,1.2,5.5,17.0,H,1.2,True,19.999999999999996
2006-09-09,2006,D,H,0.9809264,0.011557817,0.0075157746,1.33,4.33,10.0,H,1.33,False,-100.0
2006-09-09,2006,H,H,0.60444593,0.29797757,0.097576484,1.66,3.4,5.5,H,1.66,True,65.99999999999999
2006-09-09,2006,H,A,0.10682213,0.11841329,0.77476454,3.75,3.2,2.0,A,2.0,False,-100.0
2006-09-09,2006,H,H,0.6334067,0.28989363,0.076699704,1.83,3.25,4.5,H,1.83,True,83.0
2006-09-09,2006,D,A,0.017671222,0.45755476,0.524774,2.62,3.2,2.62,A,2.62,False,-100.0
2006-09-09,2006,A,H,0.5920878,0.33494014,0.072972074,1.72,3.4,5.0,H,1.72,False,-100.0
2006-09-09,2006,H,H,0.8420482,0.1536723,0.0042794636,1.5,3.75,7.0,H,1.5,True,50.0
2006-09-10,2006,D,H,0.754849,0.075212754,0.16993819,2.1,3.2,3.5,H,2.1,False,-100.0
2006-09-11,2006,H,D,0.25839576,0.6408061,0.10079817,2.3,3.1,3.1,D,3.1,False,-100.0
2006-09-16,2006,D,H,0.68528634,0.2076256,0.10708802,1.72,3.4,5.0,H,1.72,False,-100.0
2006-09-16,2006,D,H,0.8434054,0.05039551,0.10619913,2.0,3.2,3.75,H,2.0,False,-100.0
2006-09-16,2006,A,H,0.64563304,0.16841075,0.18595621,2.3,3.25,3.0,H,2.3,False,-100.0
2006-09-16,2006,A,D,0.03897299,0.8768334,0.08419365,2.5,3.1,2.8,D,3.1,False,-100.0
2006-09-16,2006,D,A,0.15717633,0.028912175,0.8139115,2.75,3.2,2.5,A,2.5,False,-100.0
2006-09-17,2006,H,H,0.8291034,0.08418628,0.08671032,2.0,3.2,3.75,H,2.0,True,100.0
2006-09-17,2006,D,H,0.7699179,0.22732617,0.0027559448,1.61,3.4,6.0,H,1.61,False,-100.0
2006-09-17,2006,H,H,0.6642373,0.13266894,0.2030937,1.83,3.25,4.5,H,1.83,True,83.0
2006-09-17,2006,A,A,0.19238424,0.22611992,0.5814959,2.1,3.2,3.5,A,3.5,True,250.0
2006-09-17,2006,A,H,0.8381803,0.14853005,0.013289626,1.9,3.25,4.0,H,1.9,False,-100.0
2006-09-20,2006,H,H,0.75445527,0.12751834,0.11802641,1.53,3.6,6.5,H,1.53,True,53.0
2006-09-23,2006,A,A,0.1927634,0.09211408,0.7151225,2.1,3.1,3.5,A,3.5,True,250.0
2006-09-23,2006,D,H,0.6448738,0.30502093,0.050105315,1.83,3.3,4.33,H,1.83,False,-100.0
2006-09-23,2006,H,A,0.06123194,0.016406877,0.92236114,2.25,3.2,3.1,A,3.1,False,-100.0
2006-09-23,2006,D,A,0.00594292,0.01817278,0.9758843,7.0,3.75,1.5,A,1.5,False,-100.0
2006-09-23,2006,A,D,0.028432244,0.5198162,0.45175153,7.5,4.33,1.4,D,4.33,False,-100.0
2006-09-23,2006,H,H,0.9538993,0.011550683,0.034549944,1.2,5.5,17.0,H,1.2,True,19.999999999999996
2006-09-23,2006,H,H,0.85101026,0.12809938,0.020890364,1.61,3.75,5.25,H,1.61,True,61.00000000000001
2006-09-23,2006,H,A,0.22102979,0.12786253,0.6511077,1.8,3.4,4.33,A,4.33,False,-100.0
2006-09-24,2006,D,H,0.63614035,0.3431433,0.020716341,2.2,3.2,3.25,H,2.2,False,-100.0
2006-09-25,2006,A,H,0.9622655,0.032388557,0.0053460007,1.9,3.25,4.0,H,1.9,False,-100.0
2006-09-30,2006,H,A,0.20726077,0.04159937,0.7511398,2.6,3.25,2.6,A,2.6,False,-100.0
2006-09-30,2006,D,H,0.989151,0.0074252645,0.0034237453,1.3,5.0,8.5,H,1.3,False,-100.0
2006-09-30,2006,D,D,0.45828405,0.46896785,0.07274813,1.83,3.3,4.33,D,3.3,True,229.99999999999997
2006-09-30,2006,H,A,0.021029297,0.39730087,0.5816698,3.75,3.2,2.0,A,2.0,False,-100.0
2006-09-30,2006,A,A,0.023655428,0.060846955,0.91549766,6.5,3.6,1.53,A,1.53,True,53.0
2006-10-01,2006,H,A,0.11074835,0.084256835,0.8049948,1.9,3.25,4.0,A,4.0,False,-100.0
2006-10-01,2006,H,H,0.9744226,0.021904586,0.003672858,1.3,4.33,13.0,H,1.3,True,30.000000000000004
2006-10-01,2006,H,H,0.70492196,0.19546482,0.099613234,1.8,3.25,4.5,H,1.8,True,80.0
2006-10-01,2006,A,H,0.8192315,0.052511603,0.12825686,1.9,3.25,4.0,H,1.9,False,-100.0
2006-10-02,2006,D,H,0.7782263,0.10631694,0.11545673,2.4,3.2,2.87,H,2.4,False,-100.0
2006-10-14,2006,A,A,0.10674626,0.21046685,0.6827869,6.0,3.8,1.53,A,1.53,True,53.0
2006-10-14,2006,H,H,0.7477556,0.18902867,0.06321577,2.0,3.2,3.75,H,2.0,True,100.0
2006-10-14,2006,H,H,0.5795949,0.21754359,0.20286152,2.6,3.1,2.7,H,2.6,True,160.0
2006-10-14,2006,D,H,0.56977594,0.3700888,0.060135305,1.66,3.6,5.0,H,1.66,False,-100.0
2006-10-14,2006,D,A,0.12759009,0.41543317,0.4569768,2.25,3.1,3.2,A,3.2,False,-100.0
2006-10-14,2006,H,H,0.9592759,0.03411518,0.0066089267,1.16,6.5,15.0,H,1.16,True,15.999999999999993
2006-10-14,2006,A,H,0.42796627,0.2949861,0.27704763,7.5,4.33,1.4,H,7.5,False,-100.0
2006-10-14,2006,D,H,0.9762496,0.019149365,0.004601111,1.44,4.0,7.5,H,1.44,False,-100.0
2006-10-15,2006,A,H,0.7342764,0.25481042,0.010913186,2.25,3.2,3.1,H,2.25,False,-100.0
2006-10-16,2006,H,A,0.109869696,0.4291839,0.46094635,2.1,3.1,3.6,A,3.6,False,-100.0
2006-10-21,2006,H,H,0.6342127,0.2250678,0.14071952,1.57,3.5,6.5,H,1.57,True,57.00000000000001
2006-10-21,2006,D,H,0.8862638,0.035505258,0.078231,1.72,3.4,5.0,H,1.72,False,-100.0
2006-10-21,2006,D,A,0.38787842,0.18458353,0.4275381,1.9,3.25,4.0,A,4.0,False,-100.0
2006-10-21,2006,H,H,0.83770627,0.03471318,0.12758057,1.28,5.0,10.0,H,1.28,True,28.000000000000004
2006-10-21,2006,H,H,0.61610323,0.3491707,0.034726053,2.3,3.1,3.1,H,2.3,True,129.99999999999997
2006-10-22,2006,A,H,0.85409033,0.112159856,0.03374977,2.37,3.1,2.75,H,2.37,False,-100.0
2006-10-22,2006,H,H,0.48375887,0.4804149,0.035826247,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-10-22,2006,H,H,0.57702756,0.3037797,0.119192764,2.4,3.1,2.87,H,2.4,True,140.0
2006-10-22,2006,A,A,0.03768403,0.3029644,0.6593516,5.5,3.6,1.61,A,1.61,True,61.00000000000001
2006-10-22,2006,H,H,0.88515913,0.021661906,0.09317891,1.8,3.3,4.5,H,1.8,True,80.0
2006-10-28,2006,D,H,0.7809042,0.2183498,0.00074603804,1.4,4.0,9.0,H,1.4,False,-100.0
2006-10-28,2006,H,D,0.46581998,0.50249505,0.03168494,1.53,3.6,6.5,D,3.6,False,-100.0
2006-10-28,2006,A,A,0.073270164,0.051607363,0.8751225,2.1,3.25,3.4,A,3.4,True,240.0
2006-10-28,2006,A,D,0.2698205,0.6446896,0.08548985,4.33,3.3,1.83,D,3.3,False,-100.0
2006-10-28,2006,A,A,0.02393923,0.076360315,0.8997004,12.0,4.5,1.3,A,1.3,True,30.000000000000004
2006-10-28,2006,H,H,0.76887476,0.2142759,0.016849395,1.8,3.3,4.5,H,1.8,True,80.0
2006-10-28,2006,D,H,0.39809838,0.27941304,0.32248858,3.6,3.3,2.0,H,3.6,False,-100.0
2006-10-28,2006,D,H,0.6053711,0.2896488,0.104980096,1.8,3.3,4.5,H,1.8,False,-100.0
2006-10-29,2006,H,H,0.58136165,0.17348914,0.24514921,2.5,3.2,2.75,H,2.5,True,150.0
2006-10-30,2006,H,A,0.18019013,0.12925668,0.6905532,2.37,3.1,3.0,A,3.0,False,-100.0
2006-11-04,2006,H,H,0.753365,0.109166585,0.13746847,2.6,3.0,2.8,H,2.6,True,160.0
2006-11-04,2006,A,H,0.8188547,0.1370943,0.04405099,1.72,3.4,5.0,H,1.72,False,-100.0
2006-11-04,2006,H,H,0.92573756,0.05250558,0.021756846,1.3,5.0,9.0,H,1.3,True,30.000000000000004
2006-11-04,2006,H,H,0.9762309,0.013244889,0.010524206,1.33,4.5,9.5,H,1.33,True,33.00000000000001
2006-11-04,2006,H,A,0.33418882,0.19529253,0.47051865,2.3,3.1,3.1,A,3.1,False,-100.0
2006-11-04,2006,A,H,0.60587794,0.17190829,0.22221373,1.9,3.25,4.0,H,1.9,False,-100.0
2006-11-04,2006,H,A,0.361401,0.20363605,0.43496293,2.8,3.1,2.5,A,2.5,False,-100.0
2006-11-05,2006,H,A,0.097278,0.16401784,0.7387042,5.0,3.4,1.72,A,1.72,False,-100.0
2006-11-05,2006,H,D,0.19907346,0.496287,0.30463955,5.5,3.6,1.61,D,3.6,False,-100.0
2006-11-05,2006,H,H,0.5725598,0.13415131,0.2932889,2.0,3.2,3.75,H,2.0,True,100.0
2006-11-11,2006,H,H,0.4519156,0.3091872,0.23889719,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-11-11,2006,D,H,0.52635413,0.35547093,0.11817498,2.9,3.2,2.37,H,2.9,False,-100.0
2006-11-11,2006,D,H,0.91246974,0.06843069,0.01909962,1.83,3.3,4.33,H,1.83,False,-100.0
2006-11-11,2006,H,A,0.1690231,0.32125005,0.5097269,2.2,3.2,3.25,A,3.25,False,-100.0
2006-11-11,2006,A,H,0.70331585,0.17155305,0.1251311,2.0,3.2,3.75,H,2.0,False,-100.0
2006-11-11,2006,H,H,0.90560186,0.078979276,0.015418878,1.12,7.0,23.0,H,1.12,True,12.00000000000001
2006-11-11,2006,A,A,0.04115587,0.012729075,0.9461151,5.5,3.6,1.61,A,1.61,True,61.00000000000001
2006-11-11,2006,D,H,0.45910174,0.34961134,0.19128692,2.1,3.2,3.5,H,2.1,False,-100.0
2006-11-12,2006,H,H,0.6973519,0.16272354,0.1399246,2.0,3.2,3.75,H,2.0,True,100.0
2006-11-12,2006,H,D,0.14068161,0.50926495,0.35005343,3.1,3.2,2.25,D,3.2,False,-100.0
2006-11-18,2006,D,D,0.4728387,0.52315205,0.004009262,1.25,5.0,13.0,D,5.0,True,400.0
2006-11-18,2006,H,H,0.99595994,0.0035233065,0.00051676494,1.18,5.75,17.0,H,1.18,True,17.999999999999993
2006-11-18,2006,H,D,0.38189563,0.4604716,0.15763277,2.4,3.2,2.87,D,3.2,False,-100.0
2006-11-18,2006,H,H,0.7888255,0.19067006,0.020504428,2.1,3.2,3.5,H,2.1,True,110.00000000000001
2006-11-18,2006,D,H,0.5407276,0.07189062,0.38738176,3.75,3.2,2.0,H,3.75,False,-100.0
2006-11-18,2006,A,A,0.4337108,0.12529093,0.44099826,9.0,4.33,1.36,A,1.36,True,36.00000000000001
2006-11-18,2006,H,H,0.8140892,0.0796075,0.10630329,1.61,3.6,5.5,H,1.61,True,61.00000000000001
2006-11-18,2006,H,A,0.08896553,0.14234433,0.76869017,1.9,3.25,4.0,A,4.0,False,-100.0
2006-11-19,2006,D,H,0.48464158,0.10062157,0.41473687,2.4,3.2,2.87,H,2.4,False,-100.0
2006-11-19,2006,D,A,0.38377014,0.029068824,0.587161,2.37,3.2,2.9,A,2.9,False,-100.0
2006-11-25,2006,H,H,0.83724266,0.12933485,0.033422485,1.44,3.75,8.5,H,1.44,True,43.99999999999999
2006-11-25,2006,H,H,0.68656266,0.056984726,0.25645262,1.8,3.3,4.5,H,1.8,True,80.0
2006-11-25,2006,A,D,0.10556028,0.654367,0.24007267,2.2,3.1,3.3,D,3.1,False,-100.0
2006-11-25,2006,H,H,0.6756473,0.09711852,0.22723415,3.6,3.3,2.0,H,3.6,True,260.0
2006-11-25,2006,D,H,0.7058897,0.09176779,0.2023425,2.7,3.25,2.5,H,2.7,False,-100.0
2006-11-25,2006,D,D,0.098384745,0.6246074,0.27700788,1.8,3.3,4.5,D,3.3,True,229.99999999999997
