Date,Season,Actual,Predicted,HomeProb,DrawProb,AwayProb,HomeOdds,DrawOdds,AwayOdds,Bet_Outcome,Bet_Odds,Won,PnL
2006-09-17,2006,A,H,0.47,0.19,0.34,2.1,3.2,3.5,H,2.1,False,-100.0
2006-09-17,2006,A,H,0.52,0.32,0.16,1.9,3.25,4.0,H,1.9,False,-100.0
2006-09-20,2006,H,H,0.6,0.21,0.19,1.53,3.6,6.5,H,1.53,True,53.0
2006-09-23,2006,A,H,0.42,0.19,0.39,2.1,3.1,3.5,H,2.1,False,-100.0
2006-09-23,2006,D,H,0.67,0.23,0.1,1.83,3.3,4.33,H,1.83,False,-100.0
2006-09-23,2006,H,H,0.4,0.21,0.39,2.25,3.2,3.1,H,2.25,True,125.0
2006-09-23,2006,D,A,0.1,0.24,0.66,7.0,3.75,1.5,A,1.5,False,-100.0
2006-09-23,2006,A,D,0.15,0.44,0.41,7.5,4.33,1.4,D,4.33,False,-100.0
2006-09-23,2006,H,H,0.76,0.17,0.07,1.2,5.5,17.0,H,1.2,True,19.999999999999996
2006-09-23,2006,H,H,0.59,0.21,0.2,1.61,3.75,5.25,H,1.61,True,61.00000000000001
2006-09-23,2006,H,H,0.53,0.21,0.26,1.8,3.4,4.33,H,1.8,True,80.0
2006-09-24,2006,D,H,0.42,0.37,0.21,2.2,3.2,3.25,H,2.2,False,-100.0
2006-09-25,2006,A,H,0.71,0.18,0.11,1.9,3.25,4.0,H,1.9,False,-100.0
2006-09-30,2006,H,A,0.22,0.11,0.67,2.6,3.25,2.6,A,2.6,False,-100.0
2006-09-30,2006,D,H,0.65,0.26,0.09,1.3,5.0,8.5,H,1.3,False,-100.0
2006-09-30,2006,D,H,0.54,0.23,0.23,1.83,3.3,4.33,H,1.83,False,-100.0
2006-09-30,2006,H,A,0.29,0.32,0.39,3.75,3.2,2.0,A,2.0,False,-100.0
2006-09-30,2006,A,A,0.07,0.25,0.68,6.5,3.6,1.53,A,1.53,True,53.0
2006-10-01,2006,H,H,0.55,0.16,0.29,1.9,3.25,4.0,H,1.9,True,89.99999999999999
2006-10-01,2006,H,H,0.79,0.2,0.01,1.3,4.33,13.0,H,1.3,True,30.000000000000004
2006-10-01,2006,H,H,0.59,0.21,0.2,1.8,3.25,4.5,H,1.8,True,80.0
2006-10-01,2006,A,H,0.42,0.26,0.32,1.9,3.25,4.0,H,1.9,False,-100.0
2006-10-02,2006,D,H,0.48,0.3,0.22,2.4,3.2,2.87,H,2.4,False,-100.0
2006-10-14,2006,A,A,0.08,0.18,0.74,6.0,3.8,1.53,A,1.53,True,53.0
2006-10-14,2006,H,H,0.5,0.3,0.2,2.0,3.2,3.75,H,2.0,True,100.0
2006-10-14,2006,H,A,0.37,0.17,0.46,2.6,3.1,2.7,A,2.7,False,-100.0
2006-10-14,2006,D,H,0.55,0.36,0.09,1.66,3.6,5.0,H,1.66,False,-100.0
2006-10-14,2006,D,H,0.42,0.27,0.31,2.25,3.1,3.2,H,2.25,False,-100.0
2006-10-14,2006,H,H,0.78,0.17,0.05,1.16,6.5,15.0,H,1.16,True,15.999999999999993
2006-10-14,2006,A,A,0.14,0.36,0.5,7.5,4.33,1.4,A,1.4,True,39.99999999999999
2006-10-14,2006,D,H,0.78,0.18,0.04,1.44,4.0,7.5,H,1.44,False,-100.0
2006-10-15,2006,A,H,0.4,0.3,0.3,2.25,3.2,3.1,H,2.25,False,-100.0
2006-10-16,2006,H,H,0.38,0.3,0.32,2.1,3.1,3.6,H,2.1,True,110.00000000000001
2006-10-21,2006,H,H,0.75,0.12,0.13,1.57,3.5,6.5,H,1.57,True,57.00000000000001
