Season,ROI
2001,-13.914714714714716
2002,8.695871238628412
2003,-14.70165562913907
2004,-6.814900662251655
2005,-2.850439882697948
2006,-15.39655172413793
2007,-8.279202279202279
2008,-1.1313432835820891
2009,-17.138810198300284
2010,-25.700879765395896
2011,0.6726190476190472
2012,-11.224852071005916
2013,-3.9634831460674156
2014,-4.671469740634006
2015,-1.7134670487106016
2016,-6.155619596541786
2017,-3.599423631123919
2018,-1.089887640449438
2019,-6.360795454545455
2020,-2.191616766467065
