Season,ROI
2001,-6.828918918918918
2002,-14.903566710700131
2003,-2.524624624624624
2004,-26.205688622754487
2005,-25.926121372031663
2006,-10.061007957559681
2007,-27.502631578947366
2008,-12.007936507936508
2009,-18.8311345646438
2010,-6.9788918205804755
2011,8.936507936507937
2012,1.6210526315789473
2013,2.419525065963061
2014,8.63421052631579
2015,19.976253298153036
2016,-13.684210526315791
2017,-1.9312169312169312
2018,-3.418421052631579
2019,13.118421052631579
2020,3.9728260869565215
