Season,ROI
2001,-8.839189189189192
2002,-5.930383091149274
2003,-8.77057057057057
2004,-4.166766467065869
2005,3.1926121372031657
2006,-6.73740053050398
2007,2.3921052631578945
2008,-3.1402116402116396
2009,-4.957783641160949
2010,-6.361477572559365
2011,-8.637566137566138
2012,-5.121052631578948
2013,7.9208443271767806
2014,-2.2657894736842112
2015,-10.728232189973614
2016,8.05
2017,-3.5343915343915335
2018,0.28947368421052594
2019,-8.957894736842105
2020,-5.130434782608695
