Season,ROI
2001,-19.282162162162166
2002,-2.85112285336856
2003,-9.558258258258256
2004,-6.443113772455092
2005,5.514511873350923
2006,1.7188328912466841
2007,-7.7894736842105265
2008,-5.412698412698413
2009,9.263852242744065
2010,0.9973614775725601
2011,-3.8412698412698405
2012,-11.221052631578948
2013,1.9498680738786283
2014,-1.6631578947368428
2015,-8.620052770448549
2016,6.560526315789474
2017,3.4338624338624344
2018,5.047368421052631
2019,4.213157894736842
2020,-16.190217391304348
